code,MC_seed=1,MC_seed=2
238,-0.0003054983813340159,-0.00035146736178397686
239,-0.00030435758245701545,-0.0003502287474583795
240,-0.0003024399409634139,-0.0003486138563634539
241,-0.0003012991420857738,-0.000347375242034613
242,-0.0003004750553772277,-0.0003457328876340714
243,-0.00029933425649867186,-0.00034449427330530974
244,-0.0002983576335130455,-0.00034342280626251576
245,-0.00029721683463299157,-0.0003421841919326734
246,-0.0002963927479252954,-0.0003405418375335206
247,-0.0002952519490443249,-0.000339303223203758
248,-0.0002931550526582068,-0.0003387455318297967
249,-0.00029201425377585043,-0.00033750691750104585
250,-0.0002911901670697795,-0.00033586456310582093
251,-0.00029004936818650723,-0.0003346259487771512
252,-0.0002890727451990401,-0.0003335544817294155
253,-0.00028793194631426995,-0.00033231586739966465
254,-0.00028710785960905005,-0.00033067351300583104
255,-0.00028596706072336463,-0.0003294348986761596
256,-0.00028336970460985907,-0.0003243582298093898
257,-0.00028222890572963814,-0.00032311961548309295
258,-0.00028140481903141546,-0.0003214772610987597
259,-0.00028026402015027653,-0.0003202386467725451
260,-0.000279287397167118,-0.00031916717971965504
261,-0.0002781465982844818,-0.00031792856539236084
262,-0.0002773225115871119,-0.0003162862110094159
263,-0.0002761817127035584,-0.00031504759668220294
264,-0.0002740848163345366,-0.0003144899053363848
265,-0.00027294401744960015,-0.0003132512910101855
266,-0.00027211993075385585,-0.00031160893663117204
267,-0.00027097913186800357,-0.00031037032230504986
268,-0.00027000250888300614,-0.0003092988552472244
269,-0.0002688617099956562,-0.0003080602409200245
270,-0.0002680376233007641,-0.00030641788654240217
271,-0.0002668968244124983,-0.00030517927221528475
272,-0.00026497918296144367,-0.00030356438101994583
273,-0.0002638383840725406,-0.0003023257666895868
274,-0.0002630142973796709,-0.0003006834123107162
275,-0.0002618734984898525,-0.0002994447979804394
276,-0.0002608968755036064,-0.000298373330913435
277,-0.000259756076612292,-0.00029713471658207786
278,-0.000258931989920274,-0.00029549236220460275
279,-0.00025779119102804315,-0.0002942537478733259
280,-0.0002556942946640558,-0.00029369605654866167
281,-0.0002545534957704412,-0.0002924574422183998
282,-0.00025372940908005,-0.00029081508784485535
283,-0.0002525886101855197,-0.0002895764735146743
284,-0.0002516119871974374,-0.0002885050064427351
285,-0.0002504711883014111,-0.0002872663921114746
286,-0.0002496471016118725,-0.000285624037739327
287,-0.0002485063027149305,-0.0002843854234081488
288,-0.0002479661678015685,-0.00028295702689940016
289,-0.0002468253689077078,-0.00028171841256757453
290,-0.00024600128222204503,-0.00028007605819755125
291,-0.0002448604833272705,-0.0002788374438658058
292,-0.00024388386034086698,-0.00027776597678705924
293,-0.0002427430614445949,-0.00027652736245423724
294,-0.00024191897475978462,-0.00027488500808560965
295,-0.0002407781758625979,-0.00027364639375286853
296,-0.0002386812795089057,-0.00027308870245035206
297,-0.00023754048061033517,-0.0002718500881186245
298,-0.0002367163939271529,-0.0002702077337539327
299,-0.00023557559502766773,-0.00026896911942228633
300,-0.00023459897203942959,-0.00026789765233860795
301,-0.00023345817313844951,-0.00026665903800588515
302,-0.00023263408645611967,-0.000265016683642589
303,-0.00023149328755422489,-0.00026377806930994905
304,-0.0002295756461384122,-0.000262163178017177
305,-0.00022843484723587888,-0.0002609245636812957
306,-0.00022761076055557452,-0.0002592822093167572
307,-0.0002264699616521279,-0.0002580435949809597
308,-0.0002254933386626468,-0.0002569721278881096
309,-0.00022435253975770517,-0.0002557335135512364
310,-0.00022352845307825213,-0.000254091159188095
311,-0.00022238765417239667,-0.0002528525448513041
312,-0.00022029075782375359,-0.00025229485356994695
313,-0.00021914995891651493,-0.00025105623923416963
314,-0.0002183258722386923,-0.0002494138848749649
315,-0.00021718507333053853,-0.0002481752705392711
316,-0.0002162084503392255,-0.00024710380344149143
317,-0.00021506765142957689,-0.00024586518910472
318,-0.0002142435647526072,-0.0002442228347469132
319,-0.00021310276584204547,-0.00024298422041022508
320,-0.0002125024161340796,-0.0002430929406826662
321,-0.00021136161722343528,-0.0002418543263494804
322,-0.00021053753054809998,-0.0002402119719985792
323,-0.0002093967316365424,-0.00023897335766547893
324,-0.00020842010864415738,-0.00023790189056531092
325,-0.00020727930973110417,-0.0002366632762311331
326,-0.0002064552230566223,-0.00023502092188163178
327,-0.000205314424142656,-0.00023378230754753673
328,-0.00020321752779867573,-0.00023322461628858036
329,-0.00020207672888332802,-0.00023198600195550032
330,-0.0002012526422104745,-0.00023034364760993748
331,-0.00020011184329421218,-0.0002291050332769419
332,-0.0001991352202999965,-0.00022803356617184472
333,-0.00019799442138224052,-0.00022679495183777407
334,-0.0001971703347102428,-0.0002251525974936106
335,-0.0001960295357915722,-0.000223913983159624
336,-0.00019411189440613302,-0.0002222990917780996
337,-0.0001929710954868269,-0.0002210604774408751
338,-0.00019214700881685457,-0.0002194181230954738
339,-0.00019100620989663563,-0.00021817950875833409
340,-0.00019002958690118141,-0.0002171080416440704
341,-0.0001888887879794669,-0.00021586942730585332
342,-0.00018806470131034898,-0.0002142270729618541
343,-0.00018692390238772298,-0.00021298845862372293
344,-0.0001848270060488086,-0.0002124307673859301
345,-0.0001836862071248003,-0.000211192153048813
346,-0.00018286212045731388,-0.0002095497987087538
347,-0.00018172132153239332,-0.0002083111843717227
348,-0.0001807446985351085,-0.00020723971725253423
349,-0.0001796038996086942,-0.000206001102914426
350,-0.00017877981294206198,-0.00020435874857576978
351,-0.00017763901401473338,-0.00020312013423774632
352,-0.00017709887936421701,-0.00020169173771221439
353,-0.00017595808043997083,-0.00020045312337354582
354,-0.00017513399377721683,-0.0001988107690370242
355,-0.00017399319485205888,-0.000197572154698443
356,-0.00017301657185646023,-0.0001965006875724583
357,-0.00017187577292980872,-0.00019526207323279968
358,-0.00017105168626791077,-0.00019361971889768158
359,-0.00016991088734034403,-0.00019238110455810988
360,-0.0001678139910117547,-0.0001918234133424748
361,-0.000166673192082808,-0.0001905847990039185
362,-0.00016584910542254253,-0.00018894244467274323
363,-0.0001647083064926843,-0.000187703830334273
364,-0.0001637316834952577,-0.0001866323632033645
365,-0.0001625908845639057,-0.00018539374886381883
366,-0.00016176679790449658,-0.0001837513945340466
367,-0.0001606259989722304,-0.00018251278019458853
368,-0.00015870835762209,-0.0001808978887156931
369,-0.00015756755868919024,-0.00017965927437299628
370,-0.00015674347203180908,-0.000178016920041991
371,-0.00015560267309799758,-0.0001767783056993832
372,-0.0001546260500993375,-0.0001757068385593166
