,vout (V),,
code,nominal,seed=1,seed=2
535,-9.249033487,-7.95256455,-8.946028251
536,-9.248746539,-7.952264839,-8.94571653
537,-9.248459592,-7.952043693,-8.945440501
538,-9.248172645,-7.951675411,-8.945076691
539,-9.247885697,-7.951454266,-8.944800662
540,-9.24759875,-7.951380956,-8.944710621
541,-9.247311803,-7.95115981,-8.944434592
542,-9.247024855,-7.950791528,-8.944070701
543,-9.246737908,-7.950570382,-8.943794753
544,-9.246450961,-7.950269248,-8.943524193
545,-9.246164013,-7.950048103,-8.943248164
546,-9.245877066,-7.949679821,-8.942884353
547,-9.245590119,-7.949458675,-8.942608324
548,-9.245303171,-7.949385365,-8.942518283
549,-9.245016224,-7.949164219,-8.942242255
550,-9.244729277,-7.948795937,-8.941878364
551,-9.244442329,-7.948574791,-8.941602415
552,-9.244155382,-7.948275081,-8.941290695
553,-9.243868435,-7.948053935,-8.941014666
554,-9.243581487,-7.947685653,-8.940650855
555,-9.24329454,-7.947464507,-8.940374826
556,-9.243007593,-7.947391197,-8.940284786
557,-9.242720645,-7.947170051,-8.940008757
558,-9.242433698,-7.946801769,-8.939644866
559,-9.242146751,-7.946580624,-8.939368917
560,-9.241859803,-7.946209493,-8.939030126
561,-9.241572856,-7.945988347,-8.938754097
562,-9.241285908,-7.945620065,-8.938390286
563,-9.240998961,-7.945398919,-8.938114258
564,-9.240712014,-7.945325609,-8.938024217
565,-9.240425066,-7.945104463,-8.937748188
566,-9.240138119,-7.944736181,-8.937384297
567,-9.239851172,-7.944515036,-8.937108348
568,-9.239564224,-7.944215325,-8.936796628
569,-9.239277277,-7.943994179,-8.936520599
570,-9.23899033,-7.943625897,-8.936156788
571,-9.238703382,-7.943404751,-8.93588076
572,-9.238416435,-7.943331441,-8.935790719
573,-9.238129488,-7.943110296,-8.93551469
574,-9.23784254,-7.942742014,-8.935150799
575,-9.237555593,-7.942520868,-8.93487485
576,-9.237268646,-7.942219404,-8.934184341
577,-9.236981698,-7.941998259,-8.933908313
578,-9.236694751,-7.941629977,-8.933544502
579,-9.236407804,-7.941408831,-8.933268473
