code,MC1_seed=1,MC1_seed=2
756,-0.020387829,-0.02012497
757,-0.020387234,-0.020124429
758,-0.020386452,-0.020123763
759,-0.020385857,-0.020123222
760,-0.020385303,-0.020122354
761,-0.020384708,-0.020121812
762,-0.020383926,-0.020121147
763,-0.020383331,-0.020120606
764,-0.020382569,-0.020119981
765,-0.020381974,-0.020119439
766,-0.020381192,-0.020118774
767,-0.020380597,-0.020118233
768,-0.020373331,-0.020109089
769,-0.020372737,-0.020108548
770,-0.020371954,-0.020107882
771,-0.02037136,-0.020107341
772,-0.020370597,-0.020106716
773,-0.020370003,-0.020106175
774,-0.02036922,-0.020105509
775,-0.020368626,-0.020104968
776,-0.020368071,-0.0201041
777,-0.020367477,-0.020103559
778,-0.020366694,-0.020102893
779,-0.0203661,-0.020102352
780,-0.020365337,-0.020101727
781,-0.020364743,-0.020101186
782,-0.02036396,-0.02010052
783,-0.020363366,-0.020099979
784,-0.02036357,-0.020098404
785,-0.020362976,-0.020097863
786,-0.020362193,-0.020097197
787,-0.020361599,-0.020096656
788,-0.020360836,-0.020096031
789,-0.020360242,-0.02009549
790,-0.020359459,-0.020094824
791,-0.020358865,-0.020094283
792,-0.02035831,-0.020093415
793,-0.020357716,-0.020092873
794,-0.020356933,-0.020092208
795,-0.020356339,-0.020091667
796,-0.020355576,-0.020091042
797,-0.020354982,-0.0200905
798,-0.020354199,-0.020089835
799,-0.020353605,-0.020089294
800,-0.020356719,-0.020091515
801,-0.020356125,-0.020090973
802,-0.020355342,-0.020090308
803,-0.020354748,-0.020089767
804,-0.020353985,-0.020089142
805,-0.020353391,-0.0200886
806,-0.020352608,-0.020087935
807,-0.020352014,-0.020087394
808,-0.020351459,-0.020086525
809,-0.020350865,-0.020085984
810,-0.020350082,-0.020085319
811,-0.020349488,-0.020084777
812,-0.020348725,-0.020084152
813,-0.020348131,-0.020083611
814,-0.020347348,-0.020082946
815,-0.020346754,-0.020082404
816,-0.020346958,-0.020080829
817,-0.020346364,-0.020080288
818,-0.020345581,-0.020079623
819,-0.020344987,-0.020079081
820,-0.020344224,-0.020078456
821,-0.02034363,-0.020077915
822,-0.020342847,-0.02007725
823,-0.020342253,-0.020076708
824,-0.020341698,-0.02007584
825,-0.020341104,-0.020075299
826,-0.020340321,-0.020074633
827,-0.020339727,-0.020074092
828,-0.020338964,-0.020073467
829,-0.02033837,-0.020072926
830,-0.020337587,-0.02007226
831,-0.020336993,-0.020071719
832,-0.020330824,-0.020070456
833,-0.02033023,-0.020069915
834,-0.020329447,-0.02006925
835,-0.020328853,-0.020068708
836,-0.02032809,-0.020068083
837,-0.020327496,-0.020067542
838,-0.020326713,-0.020066876
839,-0.020326119,-0.020066335
840,-0.020325564,-0.020065467
841,-0.02032497,-0.020064926
842,-0.020324187,-0.02006426
843,-0.020323593,-0.020063719
844,-0.02032283,-0.020063094
845,-0.020322236,-0.020062553
846,-0.020321453,-0.020061887
847,-0.020320859,-0.020061346
848,-0.020321063,-0.020059771
849,-0.020320469,-0.02005923
850,-0.020319686,-0.020058564
851,-0.020319092,-0.020058023
852,-0.020318329,-0.020057398
853,-0.020317735,-0.020056857
854,-0.020316952,-0.020056191
855,-0.020316358,-0.02005565
856,-0.020315803,-0.020054782
857,-0.020315209,-0.02005424
858,-0.020314426,-0.020053575
859,-0.020313832,-0.020053034
860,-0.020313069,-0.020052409
861,-0.020312475,-0.020051867
862,-0.020311692,-0.020051202
863,-0.020311098,-0.020050661
864,-0.020314212,-0.020052882
865,-0.020313617,-0.02005234
866,-0.020312835,-0.020051675
867,-0.02031224,-0.020051134
868,-0.020311478,-0.020050509
869,-0.020310884,-0.020049967
