code,MC1_seed=1,MC1_seed=2
447,-0.022591927,-0.022047994
448,-0.022592371,-0.02204467
449,-0.02259171,-0.022043943
450,-0.022591001,-0.022043386
451,-0.02259034,-0.022042658
452,-0.022589693,-0.022041763
453,-0.022589032,-0.022041036
454,-0.022588323,-0.022040479
455,-0.022587662,-0.022039751
456,-0.022586859,-0.022038872
457,-0.022586198,-0.022038145
458,-0.022585489,-0.022037588
459,-0.022584828,-0.02203686
460,-0.022584181,-0.022035966
461,-0.02258352,-0.022035238
462,-0.022582811,-0.022034681
463,-0.02258215,-0.022033953
464,-0.022582537,-0.022034419
465,-0.022581876,-0.022033691
466,-0.022581167,-0.022033134
467,-0.022580505,-0.022032406
468,-0.022579859,-0.022031512
469,-0.022579197,-0.022030784
470,-0.022578488,-0.022030227
471,-0.022577827,-0.022029499
472,-0.022577025,-0.022028621
473,-0.022576364,-0.022027893
474,-0.022575655,-0.022027336
475,-0.022574993,-0.022026608
476,-0.022574347,-0.022025714
477,-0.022573685,-0.022024986
478,-0.022572977,-0.022024429
479,-0.022572315,-0.022023701
480,-0.022570557,-0.022026595
481,-0.022569895,-0.022025868
482,-0.022569187,-0.022025311
483,-0.022568525,-0.022024583
484,-0.022567879,-0.022023688
485,-0.022567217,-0.022022961
486,-0.022566508,-0.022022404
487,-0.022565847,-0.022021676
488,-0.022565045,-0.022020797
489,-0.022564384,-0.02202007
490,-0.022563675,-0.022019513
491,-0.022563013,-0.022018785
492,-0.022562367,-0.022017891
493,-0.022561705,-0.022017163
494,-0.022560996,-0.022016606
495,-0.022560335,-0.022015878
496,-0.022560722,-0.022016344
497,-0.022560061,-0.022015616
498,-0.022559352,-0.022015059
499,-0.022558691,-0.022014331
500,-0.022558044,-0.022013437
501,-0.022557383,-0.022012709
502,-0.022556674,-0.022012152
503,-0.022556013,-0.022011424
504,-0.02255521,-0.022010546
505,-0.022554549,-0.022009818
506,-0.02255384,-0.022009261
507,-0.022553179,-0.022008533
508,-0.022552532,-0.022007639
509,-0.022551871,-0.022006911
510,-0.022551162,-0.022006354
511,-0.022550501,-0.022005626
512,-0.022525794,-0.022007302
513,-0.022525132,-0.022006574
514,-0.022524423,-0.022006017
515,-0.022523762,-0.022005289
516,-0.022523116,-0.022004395
517,-0.022522454,-0.022003667
518,-0.022521745,-0.02200311
519,-0.022521084,-0.022002382
520,-0.022520282,-0.022001504
521,-0.02251962,-0.022000776
522,-0.022518912,-0.022000219
523,-0.02251825,-0.021999492
524,-0.022517604,-0.021998597
525,-0.022516942,-0.021997869
526,-0.022516233,-0.021997312
527,-0.022515572,-0.021996585
528,-0.022515959,-0.02199705
529,-0.022515298,-0.021996322
530,-0.022514589,-0.021995765
531,-0.022513928,-0.021995038
532,-0.022513281,-0.021994143
533,-0.02251262,-0.021993416
534,-0.022511911,-0.021992858
535,-0.02251125,-0.021992131
536,-0.022510447,-0.021991252
537,-0.022509786,-0.021990525
538,-0.022509077,-0.021989968
539,-0.022508416,-0.02198924
540,-0.022507769,-0.021988345
541,-0.022507108,-0.021987618
542,-0.022506399,-0.021987061
543,-0.022505738,-0.021986333
544,-0.022503979,-0.021989227
545,-0.022503318,-0.021988499
546,-0.022502609,-0.021987942
547,-0.022501948,-0.021987214
548,-0.022501301,-0.02198632
549,-0.02250064,-0.021985592
550,-0.022499931,-0.021985035
551,-0.022499269,-0.021984307
552,-0.022498467,-0.021983429
553,-0.022497806,-0.021982701
554,-0.022497097,-0.021982144
555,-0.022496436,-0.021981417
556,-0.022495789,-0.021980522
557,-0.022495128,-0.021979794
558,-0.022494419,-0.021979237
559,-0.022493758,-0.02197851
560,-0.022494145,-0.021978975
561,-0.022493483,-0.021978247
562,-0.022492775,-0.02197769
563,-0.022492113,-0.021976963
564,-0.022491467,-0.021976068
565,-0.022490805,-0.02197534
566,-0.022490096,-0.021974783
567,-0.022489435,-0.021974056
568,-0.022488633,-0.021973177
569,-0.022487972,-0.02197245
570,-0.022487263,-0.021971893
571,-0.022486601,-0.021971165
572,-0.022485955,-0.02197027
573,-0.022485293,-0.021969543
574,-0.022484585,-0.021968986
575,-0.022483923,-0.021968258
576,-0.022484368,-0.021964934
577,-0.022483706,-0.021964207
578,-0.022482997,-0.02196365
579,-0.022482336,-0.021962922
580,-0.02248169,-0.021962027
581,-0.022481028,-0.0219613
582,-0.022480319,-0.021960743
583,-0.022479658,-0.021960015
584,-0.022478856,-0.021959136
585,-0.022478194,-0.021958409
586,-0.022477486,-0.021957852
587,-0.022476824,-0.021957124
588,-0.022476178,-0.02195623
589,-0.022475516,-0.021955502
590,-0.022474807,-0.021954945
591,-0.022474146,-0.021954217
592,-0.022474533,-0.021954683
593,-0.022473872,-0.021953955
594,-0.022473163,-0.021953398
595,-0.022472502,-0.02195267
596,-0.022471855,-0.021951776
597,-0.022471194,-0.021951048
598,-0.022470485,-0.021950491
599,-0.022469824,-0.021949763
600,-0.022469021,-0.021948885
601,-0.02246836,-0.021948157
602,-0.022467651,-0.0219476
603,-0.02246699,-0.021946872
604,-0.022466343,-0.021945978
605,-0.022465682,-0.02194525
606,-0.022464973,-0.021944693
607,-0.022464312,-0.021943965
608,-0.022462553,-0.021946859
609,-0.022461892,-0.021946132
610,-0.022461183,-0.021945575
611,-0.022460522,-0.021944847
612,-0.022459875,-0.021943952
613,-0.022459214,-0.021943225
614,-0.022458505,-0.021942668
615,-0.022457844,-0.02194194
616,-0.022457041,-0.021941061
617,-0.02245638,-0.021940334
618,-0.022455671,-0.021939777
619,-0.02245501,-0.021939049
620,-0.022454363,-0.021938154
621,-0.022453702,-0.021937427
622,-0.022452993,-0.02193687
623,-0.022452332,-0.021936142
624,-0.022452719,-0.021936608
